url_old,url_new
http://m.bountytowels.ca/fr_CA/,https://bountytowels.com/fr-ca
http://m.bountytowels.ca/fr_CA/about-bounty,https://bountytowels.com/fr-ca/propos-de-bounty
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins,https://bountytowels.com/fr-ca/magasiner-produits
http://m.bountytowels.ca/fr_CA/bounty-promotions-and-coupons,https://bountytowels.com/fr-ca/offres-promotions/offres-et-promotions
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/product-demos,https://bountytowels.com/fr-ca/magasiner-produits
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/napkins,https://bountytowels.com/fr-ca/magasiner-produits/serviettes/serviettes-gaufrees
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/bounty-basic-paper-towels,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/basic
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/bounty-basic-sas,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/basic-sur-mesure
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/white-paper-towels,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/essuie-tout-bounty
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/print-paper-towels,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/essuie-tout-bounty
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/huge-roll-paper-towels,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/essuie-tout-bounty
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/select-a-size-paper-towels,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/bounty-sur-mesure
http://m.bountytowels.ca/fr_CA/paper-towels-and-napkins/bounty-duratowel,https://bountytowels.com/fr-ca/magasiner-produits/essuie-tout/duratowel
http://m.bountytowels.ca/fr_CA/activities-for-kids,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/arts-and-crafts?locale=1001&catID=3001,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=3,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=4,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=5,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=6,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=7,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=10,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=11,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=12,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=15,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=18,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=19,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=24,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=25,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=26,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=28,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=29,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=30,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=31,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=34,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=35,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=37,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=40,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=41,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/jewelry?locale=1001&catID=3002,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=13,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=17,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=23,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=42,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=43,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=2,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=9,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=39,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/seasonal?locale=1001&catID=3004,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=1,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=8,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=14,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=16,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=20,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=21,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=22,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=27,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=32,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=33,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
http://m.bountytowels.ca/fr_CA/activities-for-kids/activityDetail?activityID=44,https://bountytowels.com/fr-ca/conseils-articles/art-bricolage
